TIME,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUMÍNICA,NIVEL UV,TEMPERATURA
2018-04-27 05:24:00,0.01,42,5876,1,29
2018-04-27 05:28:00,0.01,42,5824,1,29
2018-05-02 23:32:00,0.01,32,99,0,34
2018-05-02 23:36:00,0.01,32,6609,0,33
2018-05-02 23:37:00,0.01,32,5777,0,33
2018-05-02 23:38:00,0.01,32,5818,0,33
2018-05-03 00:33:00,0.01,28,5788,1,34
2018-05-03 00:35:00,0.01,28,5788,1,34
2018-05-03 00:36:00,0.01,29,5788,1,34
2018-05-03 00:37:00,0.01,29,5759,1,34
2018-05-03 00:38:00,0.01,30,5777,1,34
2018-05-03 00:39:00,0.01,30,5800,1,34
2018-05-03 00:40:00,0.01,30,5777,1,34
2018-05-03 01:16:00,88.77,32,5829,0,34
2018-05-03 01:17:00,88.61,32,5829,0,34
2018-05-03 01:18:00,88.61,32,5829,0,34
2018-05-03 01:19:00,88.61,32,5829,0,34
2018-05-03 01:20:00,88.61,32,5829,0,34
2018-05-03 01:21:00,88.61,32,5835,0,34
2018-05-03 01:22:00,88.45,32,5829,0,34
2018-05-03 01:23:00,88.29,32,5835,0,34
2018-05-03 01:24:00,88.29,32,5835,0,34
2018-05-03 01:25:00,88.29,32,5835,0,34
2018-05-03 01:26:00,88.13,32,5812,0,34
2018-05-03 01:27:00,88.13,32,5835,0,34
2018-05-03 01:28:00,88.13,32,5835,0,34
2018-05-03 01:29:00,87.97,32,5835,0,34
2018-05-03 01:30:00,87.81,32,5841,0,34
2018-05-03 01:31:00,87.97,33,5841,0,34
2018-05-03 01:32:00,87.97,33,5841,0,34
2018-05-03 01:33:00,87.81,33,5841,0,34
2018-05-03 01:34:00,87.65,33,5841,0,34
2018-05-03 01:35:00,87.49,33,5841,0,34
2018-05-03 01:36:00,87.49,33,5841,0,34
2018-05-03 01:37:00,87.65,33,5841,0,34
2018-05-03 01:38:00,87.33,32,5841,0,34
2018-05-03 01:39:00,87.49,32,5847,0,34
2018-05-03 01:40:00,87.49,32,5847,0,34
2018-05-03 01:41:00,87.49,32,5800,0,34
2018-05-03 01:42:00,87.49,32,5800,0,34
2018-05-03 01:43:00,87.65,32,5800,0,33
2018-05-03 01:44:00,87.33,33,5800,0,33
2018-05-03 01:45:00,87.65,33,5800,0,33
2018-05-03 01:46:00,87.33,33,5806,0,33
2018-05-03 01:47:00,87.17,33,5812,0,33
2018-05-03 01:48:00,87.01,33,5847,0,33
2018-05-03 01:49:00,87.01,33,5847,0,33
2018-05-03 01:50:00,87.01,33,5824,0,34
2018-05-03 01:51:00,86.84,33,5829,0,34
2018-05-03 01:52:00,86.68,33,5847,0,34
2018-05-03 01:53:00,86.84,33,5824,0,34
2018-05-03 01:54:00,86.68,33,5806,0,34
2018-05-03 01:55:00,86.68,33,5812,0,34
2018-05-03 01:56:00,86.68,33,5800,0,33
2018-05-03 01:57:00,86.68,33,5812,0,33
2018-05-03 01:58:00,86.52,33,5806,0,33
2018-05-03 01:59:00,86.68,33,5847,0,33
2018-05-03 02:00:00,86.52,33,5847,0,33
2018-05-03 02:01:00,86.68,34,5847,0,33
2018-05-03 02:02:00,86.36,33,5847,0,33
2018-05-03 02:03:00,86.36,33,5847,0,34
2018-05-03 02:04:00,86.36,33,5847,0,34
2018-05-03 02:05:00,86.36,33,5847,0,34
2018-05-03 02:06:00,86.36,33,5847,0,33
2018-05-03 02:07:00,86.2,33,5847,0,34
2018-05-03 02:08:00,86.36,34,5806,0,34
2018-05-03 02:09:00,86.36,33,5800,0,34
2018-05-03 02:10:00,86.2,33,5812,0,34
2018-05-03 02:11:00,86.36,33,5800,0,34
2018-05-03 02:12:00,86.2,33,5835,0,33
2018-05-03 02:13:00,86.36,34,5847,0,33
2018-05-03 02:14:00,86.2,34,5847,0,34
2018-05-03 02:15:00,86.04,34,5847,0,34
2018-05-03 02:17:00,86.04,33,5841,0,34
2018-05-03 02:18:00,86.2,33,5847,0,34
2018-05-03 02:19:00,85.72,33,5824,0,34
2018-05-03 02:20:00,86.2,33,5841,0,33
2018-05-03 02:21:00,85.72,33,5847,0,33
2018-05-03 02:22:00,85.88,34,5841,0,34
2018-05-03 02:23:00,85.56,33,5841,0,33
2018-05-03 02:24:00,85.56,33,5841,0,33
2018-05-03 02:25:00,85.4,33,5841,0,33
2018-05-03 02:26:00,85.56,33,5841,0,33
2018-05-03 02:27:00,85.24,33,5841,0,33
2018-05-03 02:28:00,85.08,33,5841,0,33
2018-05-03 02:29:00,85.24,33,5835,0,33
2018-05-03 02:30:00,84.76,33,5835,0,33
2018-05-03 02:31:00,84.92,33,5841,0,33
2018-05-03 02:32:00,84.92,33,5841,0,33
2018-05-03 02:33:00,84.6,33,5835,0,33
2018-05-03 02:34:00,84.44,34,5835,0,33
2018-05-03 02:35:00,84.6,34,5841,0,33
2018-05-03 02:36:00,84.28,34,5835,0,33
2018-05-03 02:37:00,84.44,34,5841,0,33
2018-05-03 02:38:00,84.28,33,5841,0,33
2018-05-03 02:39:00,84.12,33,5841,0,33
2018-05-03 02:40:00,84.12,34,5835,0,33
2018-05-03 02:41:00,84.12,34,5829,0,33
2018-05-03 02:42:00,84.12,33,5829,0,33
2018-05-03 02:43:00,83.8,33,5835,0,33
2018-05-03 02:44:00,83.8,33,5835,0,33
2018-05-03 02:45:00,83.8,33,5829,0,33
2018-05-03 02:46:00,83.8,34,5824,0,32
2018-05-03 02:47:00,83.63,34,5824,0,32
2018-05-03 02:48:00,83.8,34,5824,0,32
2018-05-03 02:49:00,83.31,34,5818,0,32
2018-05-03 02:50:00,83.31,34,5812,0,32
2018-05-03 02:51:00,83.15,35,5806,0,32
2018-05-03 02:52:00,82.99,35,5794,0,32
2018-05-03 02:53:00,82.99,35,5794,0,32
2018-05-03 02:54:00,82.83,35,5794,0,32
