,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUMÍNICA,TEMPERATURA
2018-05-09 10:25:00,80.42,58.0,5829.0,30.0
2018-05-09 10:26:00,73.2,57.0,5829.0,30.0
2018-05-09 10:27:00,67.75,57.0,5841.0,30.0
2018-05-09 10:28:00,63.25,57.0,5824.0,30.0
2018-05-09 10:29:00,58.92,56.0,5835.0,30.0
2018-05-09 10:30:00,56.03,56.0,5859.0,30.0
2018-05-09 10:31:00,54.1,54.0,5859.0,31.0
2018-05-09 10:32:00,52.5,52.0,5841.0,31.0
2018-05-09 10:33:00,51.7,51.0,5859.0,31.0
2018-05-09 10:34:00,51.7,51.0,5859.0,31.0
2018-05-09 10:35:00,50.73,48.0,5859.0,32.0
2018-05-09 10:36:00,50.73,47.0,5859.0,32.0
2018-05-09 10:37:00,50.73,45.0,5859.0,32.0
2018-05-09 10:38:00,50.73,45.0,5859.0,32.0
2018-05-09 10:39:00,50.73,45.0,5859.0,32.0
2018-05-09 10:40:00,51.21,43.0,5859.0,32.0
2018-05-09 10:41:00,51.21,43.0,5859.0,32.0
2018-05-09 10:42:00,51.37,42.0,5853.0,32.0
2018-05-09 10:43:00,51.53,42.0,5853.0,32.0
2018-05-09 10:44:00,52.18,42.0,5859.0,32.0
2018-05-09 10:45:00,52.18,42.0,5859.0,32.0
2018-05-09 10:46:00,52.82,41.0,5853.0,32.0
2018-05-09 10:47:00,52.98,40.0,5847.0,33.0
2018-05-09 10:48:00,52.98,40.0,5847.0,33.0
2018-05-09 10:49:00,53.3,41.0,5859.0,33.0
2018-05-09 10:50:00,53.94,41.0,5859.0,33.0
2018-05-09 10:51:00,54.1,41.0,5853.0,33.0
2018-05-09 10:52:00,54.1,41.0,5853.0,33.0
2018-05-09 10:53:00,55.39,42.0,5853.0,33.0
2018-05-09 10:54:00,55.71,41.0,5853.0,33.0
2018-05-09 10:55:00,56.03,41.0,5865.0,33.0
2018-05-09 10:56:00,56.19,42.0,5841.0,33.0
2018-05-09 10:57:00,56.51,40.0,5829.0,33.0
2018-05-09 10:58:00,57.15,39.0,5835.0,33.0
2018-05-09 10:59:00,57.47,38.0,5829.0,33.0
2018-05-09 11:00:00,57.79,38.0,5824.0,32.0
2018-05-09 11:01:00,57.95,39.0,5824.0,32.0
2018-05-09 11:02:00,58.28,39.0,5829.0,32.0
2018-05-09 11:03:00,58.6,36.0,5835.0,32.0
2018-05-09 11:04:00,59.08,38.0,5829.0,32.0
2018-05-09 11:05:00,59.08,38.0,5829.0,32.0
2018-05-09 11:06:00,59.4,36.0,5829.0,32.0
2018-05-09 11:07:00,59.72,36.0,5829.0,32.0
2018-05-09 11:08:00,60.36,37.0,5829.0,32.0
2018-05-09 11:09:00,60.04,37.0,5829.0,31.0
2018-05-09 11:10:00,60.2,36.0,5829.0,31.0
2018-05-09 11:11:00,60.84,36.0,5835.0,32.0
2018-05-09 11:12:00,60.52,37.0,5829.0,32.0
2018-05-09 11:13:00,60.36,38.0,5824.0,32.0
2018-05-09 11:14:00,60.68,38.0,5818.0,32.0
2018-05-09 11:15:00,60.68,36.0,5818.0,31.0
2018-05-09 11:16:00,61.33,36.0,5812.0,31.0
2018-05-09 11:17:00,61.16,39.0,5812.0,31.0
2018-05-09 11:18:00,61.16,37.0,5812.0,31.0
2018-05-09 11:19:00,61.0,36.0,5812.0,31.0
2018-05-09 11:20:00,61.0,35.0,5812.0,31.0
2018-05-09 11:21:00,60.52,35.0,5812.0,31.0
2018-05-09 11:22:00,60.68,36.0,5812.0,31.0
2018-05-09 11:23:00,60.36,36.0,5818.0,31.0
2018-05-09 11:24:00,60.68,36.0,5812.0,31.0
2018-05-09 11:25:00,61.0,36.0,5812.0,31.0
2018-05-09 11:26:00,61.0,36.0,5812.0,31.0
2018-05-09 11:27:00,60.84,37.0,5818.0,31.0
2018-05-09 11:28:00,61.16,39.0,5818.0,30.0
2018-05-09 11:29:00,61.65,37.0,5818.0,30.0
2018-05-09 11:30:00,61.49,37.0,5818.0,30.0
2018-05-09 11:31:00,61.49,37.0,5818.0,30.0
2018-05-09 11:32:00,61.65,37.0,5818.0,30.0
2018-05-09 11:33:00,61.97,37.0,5818.0,30.0
2018-05-09 11:34:00,61.97,37.0,5818.0,30.0
2018-05-09 11:35:00,62.61,37.0,5818.0,30.0
2018-05-09 11:36:00,62.29,37.0,5818.0,30.0
2018-05-09 11:37:00,62.61,37.0,5818.0,30.0
2018-05-09 11:38:00,62.61,38.0,5818.0,30.0
2018-05-09 11:39:00,63.09,41.0,5824.0,30.0
2018-05-09 11:40:00,62.93,42.0,5824.0,30.0
2018-05-09 11:41:00,63.25,44.0,5824.0,30.0
2018-05-09 11:42:00,63.25,45.0,5824.0,30.0
2018-05-09 11:43:00,63.57,46.0,5824.0,30.0
2018-05-09 11:44:00,63.57,46.0,5824.0,30.0
2018-05-09 11:45:00,63.57,49.0,5829.0,30.0
2018-05-09 11:46:00,64.05,51.0,5829.0,30.0
2018-05-09 11:47:00,63.89,52.0,5829.0,30.0
2018-05-09 11:48:00,63.89,51.0,5829.0,30.0
2018-05-09 11:49:00,64.05,52.0,5853.0,30.0
2018-05-09 11:50:00,64.21,52.0,5853.0,30.0
2018-05-09 11:51:00,64.21,52.0,5835.0,30.0
2018-05-09 11:52:00,64.7,52.0,5835.0,30.0
2018-05-09 11:53:00,64.21,51.0,5824.0,30.0
2018-05-09 11:54:00,63.89,51.0,5824.0,30.0
2018-05-09 11:55:00,64.54,52.0,5824.0,30.0
2018-05-09 11:56:00,64.05,52.0,5824.0,30.0
2018-05-09 11:57:00,64.05,52.0,5824.0,30.0
