,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUMÍNICA,TEMPERATURA
2018-06-05 14:41:00,1.14,16.0,5847.0,36.0
2018-06-05 14:42:00,1.14,16.0,5847.0,36.0
2018-06-05 14:43:00,0.82,17.0,5847.0,36.0
2018-06-05 14:44:00,0.82,16.0,5847.0,35.0
2018-06-05 14:45:00,0.98,17.0,5847.0,35.0
2018-06-05 14:46:00,1.14,17.0,5847.0,35.0
2018-06-05 14:47:00,1.14,17.0,5847.0,35.0
2018-06-05 14:48:00,0.82,16.0,5847.0,35.0
2018-06-05 14:49:00,1.14,17.0,5847.0,35.0
2018-06-05 14:50:00,0.98,17.0,5847.0,35.0
2018-06-05 14:51:00,1.14,17.0,5847.0,35.0
2018-06-05 14:52:00,1.14,17.0,5847.0,35.0
2018-06-05 14:53:00,1.14,17.0,5847.0,35.0
2018-06-05 14:54:00,1.14,17.0,5847.0,35.0
2018-06-05 14:55:00,1.14,17.0,5847.0,35.0
2018-06-05 14:56:00,1.14,17.0,5847.0,35.0
2018-06-05 14:57:00,1.14,17.0,5841.0,35.0
2018-06-05 14:58:00,0.82,18.0,5841.0,35.0
2018-06-05 14:59:00,0.82,18.0,5841.0,35.0
2018-06-05 15:00:00,0.82,18.0,5841.0,35.0
2018-06-05 15:01:00,1.14,17.0,5841.0,35.0
2018-06-05 15:02:00,0.82,18.0,5841.0,35.0
2018-06-05 15:03:00,0.82,18.0,5835.0,35.0
2018-06-05 15:04:00,0.82,18.0,5835.0,35.0
2018-06-05 15:05:00,0.82,18.0,5835.0,35.0
2018-06-05 15:06:00,0.82,18.0,5835.0,35.0
2018-06-05 15:07:00,0.82,18.0,5835.0,35.0
2018-06-05 15:08:00,0.82,18.0,5841.0,35.0
2018-06-05 15:09:00,0.82,18.0,5835.0,35.0
2018-06-05 15:10:00,0.82,18.0,5835.0,35.0
2018-06-05 15:11:00,0.82,18.0,5835.0,35.0
2018-06-05 15:12:00,0.82,19.0,5835.0,34.0
2018-06-05 15:13:00,0.82,20.0,5835.0,34.0
2018-06-05 15:14:00,0.98,20.0,5835.0,34.0
2018-06-05 15:15:00,0.98,20.0,5835.0,34.0
2018-06-05 15:16:00,0.82,20.0,5835.0,34.0
2018-06-05 15:17:00,0.82,20.0,5835.0,34.0
2018-06-05 15:18:00,0.82,20.0,5835.0,34.0
2018-06-05 15:19:00,0.82,20.0,5835.0,34.0
2018-06-05 15:20:00,0.82,20.0,5835.0,34.0
2018-06-05 15:21:00,0.82,19.0,5835.0,34.0
2018-06-05 15:22:00,0.98,20.0,5835.0,34.0
2018-06-05 15:23:00,0.82,19.0,5835.0,34.0
2018-06-05 15:24:00,0.82,20.0,5829.0,34.0
2018-06-05 15:25:00,0.82,20.0,5829.0,34.0
2018-06-05 15:26:00,0.82,20.0,5829.0,34.0
2018-06-05 15:27:00,0.82,20.0,5829.0,34.0
2018-06-05 15:28:00,0.82,20.0,5829.0,34.0
2018-06-05 15:29:00,0.82,20.0,5824.0,34.0
2018-06-05 15:30:00,0.98,20.0,5824.0,34.0
2018-06-05 15:31:00,0.82,20.0,5824.0,34.0
2018-06-05 15:32:00,0.82,20.0,5824.0,34.0
2018-06-05 15:33:00,0.82,20.0,5818.0,34.0
2018-06-05 15:34:00,0.82,20.0,5818.0,34.0
2018-06-05 15:35:00,0.82,20.0,5818.0,34.0
2018-06-05 15:36:00,0.82,20.0,5812.0,34.0
2018-06-05 15:37:00,0.82,20.0,5812.0,34.0
2018-06-05 15:38:00,0.82,20.0,5812.0,34.0
2018-06-05 15:39:00,0.82,20.0,5806.0,34.0
2018-06-05 15:40:00,0.66,21.0,5806.0,34.0
2018-06-05 15:41:00,0.66,21.0,5800.0,34.0
2018-06-05 15:42:00,0.66,21.0,5800.0,34.0
2018-06-05 15:43:00,0.66,21.0,5800.0,34.0
