"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","TIME"
"1","2","27","19","74.97","0","5853","2018-05-09 09:38:00"
"2","2","28","19","72.72","0","5865","2018-05-09 09:49:00"
"3","2","28","19","72.56","0","5859","2018-05-09 09:50:00"
"4","2","28","19","72.4","0","5859","2018-05-09 09:51:00"
"5","2","28","19","72.08","0","5859","2018-05-09 09:52:00"
"6","2","28","19","71.92","0","5865","2018-05-09 09:53:00"
"7","2","28","19","71.76","0","5859","2018-05-09 09:54:00"
"8","2","28","19","71.6","0","5859","2018-05-09 09:55:00"
"9","2","28","19","71.44","0","5859","2018-05-09 09:56:00"
"10","2","28","19","72.72","0","5859","2018-05-09 09:57:00"
"11","2","28","19","72.56","0","5870","2018-05-09 09:58:00"
"12","2","28","19","72.24","0","5876","2018-05-09 09:59:00"
"13","2","28","19","72.08","0","5876","2018-05-09 10:00:00"
"14","2","28","19","71.92","0","5876","2018-05-09 10:01:00"
"15","2","28","19","71.76","0","5870","2018-05-09 10:02:00"
"16","2","28","19","71.28","0","5865","2018-05-09 10:03:00"
"17","2","28","19","70.96","0","5865","2018-05-09 10:04:00"
"18","2","29","18","70.63","0","5876","2018-05-09 10:05:00"
"19","2","29","18","70.47","0","5870","2018-05-09 10:06:00"
"20","2","29","18","70.15","0","5859","2018-05-09 10:07:00"
"21","2","29","18","69.99","0","5859","2018-05-09 10:08:00"
"22","2","29","18","69.67","0","5859","2018-05-09 10:09:00"
"23","2","29","18","68.71","0","5859","2018-05-09 10:10:00"
"24","2","29","18","68.23","0","5865","2018-05-09 10:11:00"
"25","2","29","18","64.21","0","5859","2018-05-09 10:12:00"
"26","2","29","18","64.05","0","5859","2018-05-09 10:13:00"
"27","2","29","18","63.89","0","5853","2018-05-09 10:14:00"
"28","2","29","18","63.73","0","5847","2018-05-09 10:15:00"
"29","2","29","18","63.57","0","5847","2018-05-09 10:16:00"
"30","2","29","18","63.41","0","5853","2018-05-09 10:17:00"
"31","2","29","18","63.41","0","5853","2018-05-09 10:18:00"
"32","2","29","18","63.25","0","5853","2018-05-09 10:19:00"
"33","2","29","18","63.09","0","5853","2018-05-09 10:20:00"
"34","2","29","18","62.93","0","5847","2018-05-09 10:21:00"
"35","2","29","18","63.09","0","5847","2018-05-09 10:22:00"
"36","2","29","18","62.93","0","5847","2018-05-09 10:23:00"
"37","2","29","18","62.77","0","5853","2018-05-09 10:24:00"
"38","5","30","58","80.42","0","5829","2018-05-09 10:25:00"
"39","2","29","18","62.61","0","5853","2018-05-09 10:25:00"
"40","5","30","57","73.2","0","5829","2018-05-09 10:26:00"
"41","2","29","18","62.61","0","5853","2018-05-09 10:26:00"
"42","5","30","57","67.75","0","5841","2018-05-09 10:27:00"
"43","2","29","18","62.45","0","5853","2018-05-09 10:27:00"
"44","5","30","57","63.25","0","5824","2018-05-09 10:28:00"
"45","2","30","18","62.45","0","5853","2018-05-09 10:28:00"
"46","5","30","56","58.92","0","5835","2018-05-09 10:29:00"
"47","2","30","18","62.45","0","5859","2018-05-09 10:29:00"
"48","5","30","56","56.03","0","5859","2018-05-09 10:30:00"
"49","2","30","18","62.29","0","5870","2018-05-09 10:30:00"
"50","5","31","54","54.1","0","5859","2018-05-09 10:31:00"
"51","2","30","18","62.13","0","5865","2018-05-09 10:31:00"
"52","5","31","52","52.5","0","5841","2018-05-09 10:32:00"
"53","2","30","18","62.29","0","5859","2018-05-09 10:32:00"
"54","5","31","51","51.7","0","5859","2018-05-09 10:33:00"
"55","2","30","18","62.29","0","5870","2018-05-09 10:33:00"
"56","2","30","18","62.29","0","5870","2018-05-09 10:34:00"
"57","5","32","48","50.73","0","5859","2018-05-09 10:35:00"
"58","2","30","18","62.13","0","5870","2018-05-09 10:35:00"
"59","5","32","47","50.73","0","5859","2018-05-09 10:36:00"
"60","2","30","18","62.13","0","5870","2018-05-09 10:36:00"
"61","5","32","45","50.73","0","5859","2018-05-09 10:37:00"
"62","2","30","18","62.13","0","5870","2018-05-09 10:37:00"
"63","5","32","45","50.73","0","5859","2018-05-09 10:38:00"
"64","2","30","18","62.13","0","5870","2018-05-09 10:38:00"
"65","2","31","17","62.13","0","5870","2018-05-09 10:39:00"
"66","5","32","43","51.21","0","5859","2018-05-09 10:40:00"
"67","2","31","17","61.97","0","5870","2018-05-09 10:40:00"
"68","2","31","17","61.97","0","5870","2018-05-09 10:41:00"
"69","5","32","42","51.37","0","5853","2018-05-09 10:42:00"
"70","5","32","42","51.53","0","5853","2018-05-09 10:43:00"
"71","2","31","17","61.97","0","5865","2018-05-09 10:43:00"
"72","5","32","42","52.18","0","5859","2018-05-09 10:44:00"
"73","2","31","17","61.81","0","5870","2018-05-09 10:44:00"
"74","5","32","42","52.18","0","5859","2018-05-09 10:45:00"
"75","2","31","17","61.97","0","5870","2018-05-09 10:45:00"
"76","5","32","41","52.82","0","5853","2018-05-09 10:46:00"
"77","2","31","17","62.13","0","5870","2018-05-09 10:46:00"
"78","5","33","40","52.98","0","5847","2018-05-09 10:47:00"
"79","2","31","17","61.97","0","5865","2018-05-09 10:47:00"
"80","2","31","17","61.97","0","5865","2018-05-09 10:49:00"
"81","5","33","41","53.3","0","5859","2018-05-09 10:49:00"
"82","2","32","17","61.81","0","5876","2018-05-09 10:49:00"
"83","5","33","41","53.94","0","5859","2018-05-09 10:50:00"
"84","2","32","17","61.81","0","5876","2018-05-09 10:50:00"
"85","5","33","41","54.1","0","5853","2018-05-09 10:51:00"
"86","2","32","17","62.13","0","5870","2018-05-09 10:51:00"
"87","5","33","42","55.39","0","5853","2018-05-09 10:53:00"
"88","2","32","17","61.97","0","5876","2018-05-09 10:53:00"
"89","5","33","41","55.71","0","5853","2018-05-09 10:54:00"
"90","2","32","17","61.97","0","5876","2018-05-09 10:54:00"
"91","5","33","41","56.03","0","5865","2018-05-09 10:55:00"
"92","2","32","17","61.97","0","5876","2018-05-09 10:55:00"
"93","5","33","42","56.19","0","5841","2018-05-09 10:56:00"
"94","2","32","17","61.97","0","5865","2018-05-09 10:56:00"
"95","5","33","40","56.51","0","5829","2018-05-09 10:57:00"
"96","2","32","17","61.81","0","5865","2018-05-09 10:57:00"
"97","5","33","39","57.15","0","5835","2018-05-09 10:58:00"
"98","2","32","17","61.81","0","5865","2018-05-09 10:58:00"
"99","5","33","38","57.47","0","5829","2018-05-09 10:59:00"
"100","2","32","17","61.97","0","5865","2018-05-09 10:59:00"
"101","5","32","38","57.79","0","5824","2018-05-09 11:00:00"
"102","2","32","17","61.97","0","5859","2018-05-09 11:00:00"
"103","5","32","39","57.95","0","5824","2018-05-09 11:01:00"
"104","2","32","17","61.81","0","5865","2018-05-09 11:01:00"
"105","5","32","39","58.28","0","5829","2018-05-09 11:02:00"
"106","2","32","17","61.81","0","5865","2018-05-09 11:02:00"
"107","5","32","36","58.6","0","5835","2018-05-09 11:03:00"
"108","2","32","17","61.81","0","5870","2018-05-09 11:03:00"
"109","5","32","38","59.08","0","5829","2018-05-09 11:04:00"
