TIME,TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,NIVEL UV,INTENSIDAD LUMÍNICA,HORA
2018-05-09 10:36:00,32,58,74.97,0,5835,10
2018-05-09 10:37:00,30,55,68.23,0,5829,10
2018-05-09 10:38:00,30,53,63.41,0,5818,10
2018-05-09 10:39:00,30,53,60.52,0,5806,10
2018-05-09 10:40:00,31,52,58.12,0,5829,10
2018-05-09 10:41:00,31,50,56.51,0,5829,10
2018-05-09 10:42:00,31,49,54.91,0,5829,10
2018-05-09 10:44:00,0,0,0.0,0,0,10
2018-05-09 10:45:00,31,46,52.34,0,5835,10
2018-05-09 10:46:00,31,48,52.34,0,5824,10
2018-05-09 10:47:00,31,47,52.18,0,5824,10
2018-05-09 10:48:00,31,47,52.34,0,5812,10
2018-05-09 10:49:00,31,46,52.5,0,5835,10
2018-05-09 10:50:00,31,46,52.98,0,5835,10
2018-05-09 10:51:00,32,47,52.82,0,5829,10
2018-05-09 10:52:00,31,48,52.98,0,5841,10
2018-05-09 10:53:00,32,48,53.3,0,5835,10
2018-05-09 10:55:00,32,49,53.94,0,5841,10
2018-05-09 10:56:00,32,49,54.1,0,5824,10
2018-05-09 10:57:00,32,48,54.26,0,5818,10
2018-05-09 10:59:00,0,0,0.0,0,0,10
2018-05-09 11:00:00,31,44,54.74,0,5812,11
2018-05-09 11:02:00,0,0,0.0,0,0,11
2018-05-09 11:03:00,31,44,55.07,0,5818,11
2018-05-09 11:04:00,31,46,55.55,0,5818,11
2018-05-09 11:05:00,31,44,55.55,0,5818,11
2018-05-09 11:07:00,0,0,0.0,0,0,11
2018-05-09 11:08:00,31,44,56.19,0,5812,11
2018-05-09 11:09:00,30,45,56.19,0,5818,11
2018-05-09 11:10:00,30,44,56.67,0,5818,11
2018-05-09 11:11:00,31,43,56.67,0,5824,11
2018-05-09 11:12:00,30,44,56.83,0,5818,11
2018-05-09 11:13:00,32,43,56.99,0,5812,11
2018-05-09 11:14:00,30,44,56.99,0,5812,11
2018-05-09 11:15:00,30,44,57.15,0,5806,11
2018-05-09 11:17:00,0,0,0.0,0,0,11
2018-05-09 11:18:00,30,44,57.79,0,5806,11
2018-05-09 11:19:00,30,44,58.12,0,5806,11
2018-05-09 11:20:00,30,44,58.28,0,5806,11
2018-05-09 11:21:00,30,44,58.28,0,5806,11
2018-05-09 11:22:00,30,44,58.44,0,5806,11
2018-05-09 11:23:00,30,44,58.44,0,5806,11
2018-05-09 11:24:00,30,44,58.44,0,5806,11
2018-05-09 11:25:00,30,44,58.6,0,5806,11
2018-05-09 11:26:00,30,43,58.6,0,5806,11
2018-05-09 11:27:00,30,43,58.76,0,5806,11
2018-05-09 11:28:00,30,44,58.92,0,5812,11
2018-05-09 11:29:00,30,44,59.08,0,5812,11
2018-05-09 11:30:00,30,44,59.24,0,5812,11
2018-05-09 11:31:00,30,43,59.24,0,5812,11
2018-05-09 11:32:00,30,43,59.4,0,5812,11
2018-05-09 11:33:00,30,43,59.4,0,5812,11
2018-05-09 11:35:00,30,43,59.4,0,5812,11
2018-05-09 11:36:00,30,43,59.72,0,5806,11
2018-05-09 11:37:00,30,43,59.72,0,5812,11
2018-05-09 11:39:00,0,0,0.0,0,0,11
2018-05-09 11:40:00,30,45,59.88,0,5818,11
2018-05-09 11:41:00,30,45,60.04,0,5818,11
2018-05-09 11:43:00,0,0,0.0,0,0,11
2018-05-09 11:44:00,30,50,60.36,0,5824,11
2018-05-09 11:45:00,30,52,60.68,0,5824,11
2018-05-09 11:46:00,30,52,60.52,0,5824,11
2018-05-09 11:47:00,30,53,60.52,1,5824,11
2018-05-09 11:48:00,30,52,60.68,1,5829,11
2018-05-09 11:49:00,30,53,60.52,1,5841,11
2018-05-09 11:50:00,30,52,59.4,1,5841,11
2018-05-09 11:51:00,30,53,60.68,1,5835,11
2018-05-09 11:52:00,30,52,60.68,1,5835,11
2018-05-09 11:53:00,30,52,60.68,1,5829,11
2018-05-09 11:54:00,30,52,60.84,1,5824,11
2018-05-09 11:55:00,30,52,61.0,0,5824,11
2018-05-09 11:56:00,30,52,61.0,0,5824,11
2018-05-09 11:57:00,30,53,61.0,1,5824,11
2018-05-09 11:58:00,30,52,61.0,1,5829,11
2018-05-09 11:59:00,30,52,61.0,1,5835,11
2018-05-09 12:00:00,30,53,60.84,1,5841,12
2018-05-09 12:01:00,30,53,60.84,1,5841,12
2018-05-09 12:02:00,30,53,61.0,1,5841,12
2018-05-09 12:03:00,30,52,60.84,1,5835,12
2018-05-09 12:04:00,30,52,60.84,1,5824,12
2018-05-09 12:05:00,30,52,61.0,0,5824,12
2018-05-09 12:06:00,30,52,60.84,0,5818,12
2018-05-09 12:07:00,30,52,60.68,0,5818,12
2018-05-09 12:08:00,30,52,60.84,0,5829,12
2018-05-09 12:09:00,30,52,60.68,1,5829,12
2018-05-09 12:10:00,30,53,60.68,1,5835,12
2018-05-09 12:11:00,30,53,60.68,1,5835,12
