TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,NIVEL UV,INTENSIDAD LUMÍNICA,HORA,TIME
30,58,80.42,0,5829,10,2018-05-09 10:25:00
30,57,73.2,0,5829,10,2018-05-09 10:26:00
30,57,67.75,0,5841,10,2018-05-09 10:27:00
30,57,63.25,0,5824,10,2018-05-09 10:28:00
30,56,58.92,0,5835,10,2018-05-09 10:29:00
30,56,56.03,0,5859,10,2018-05-09 10:30:00
31,54,54.1,0,5859,10,2018-05-09 10:31:00
31,52,52.5,0,5841,10,2018-05-09 10:32:00
31,51,51.7,0,5859,10,2018-05-09 10:33:00
32,48,50.73,0,5859,10,2018-05-09 10:35:00
32,47,50.73,0,5859,10,2018-05-09 10:36:00
32,45,50.73,0,5859,10,2018-05-09 10:37:00
32,45,50.73,0,5859,10,2018-05-09 10:38:00
32,43,51.21,0,5859,10,2018-05-09 10:40:00
32,42,51.37,0,5853,10,2018-05-09 10:42:00
32,42,51.53,0,5853,10,2018-05-09 10:43:00
32,42,52.18,0,5859,10,2018-05-09 10:44:00
32,42,52.18,0,5859,10,2018-05-09 10:45:00
32,41,52.82,0,5853,10,2018-05-09 10:46:00
33,40,52.98,0,5847,10,2018-05-09 10:47:00
33,41,53.3,0,5859,10,2018-05-09 10:49:00
33,41,53.94,0,5859,10,2018-05-09 10:50:00
33,41,54.1,0,5853,10,2018-05-09 10:51:00
33,42,55.39,0,5853,10,2018-05-09 10:53:00
33,41,55.71,0,5853,10,2018-05-09 10:54:00
33,41,56.03,0,5865,10,2018-05-09 10:55:00
33,42,56.19,0,5841,10,2018-05-09 10:56:00
33,40,56.51,0,5829,10,2018-05-09 10:57:00
33,39,57.15,0,5835,10,2018-05-09 10:58:00
33,38,57.47,0,5829,10,2018-05-09 10:59:00
32,38,57.79,0,5824,11,2018-05-09 11:00:00
32,39,57.95,0,5824,11,2018-05-09 11:01:00
32,39,58.28,0,5829,11,2018-05-09 11:02:00
32,36,58.6,0,5835,11,2018-05-09 11:03:00
32,38,59.08,0,5829,11,2018-05-09 11:04:00
32,38,59.08,0,5829,11,2018-05-09 11:05:00
32,36,59.4,0,5829,11,2018-05-09 11:06:00
32,36,59.72,0,5829,11,2018-05-09 11:07:00
32,37,60.36,0,5829,11,2018-05-09 11:08:00
31,37,60.04,0,5829,11,2018-05-09 11:09:00
31,36,60.2,0,5829,11,2018-05-09 11:10:00
32,36,60.84,0,5835,11,2018-05-09 11:11:00
32,37,60.52,0,5829,11,2018-05-09 11:12:00
32,38,60.36,0,5824,11,2018-05-09 11:13:00
32,38,60.68,0,5818,11,2018-05-09 11:14:00
31,36,60.68,0,5818,11,2018-05-09 11:15:00
31,36,61.33,0,5812,11,2018-05-09 11:16:00
31,39,61.16,0,5812,11,2018-05-09 11:17:00
31,37,61.16,0,5812,11,2018-05-09 11:18:00
31,36,61.0,0,5812,11,2018-05-09 11:19:00
31,35,61.0,0,5812,11,2018-05-09 11:20:00
31,35,60.52,0,5812,11,2018-05-09 11:21:00
31,36,60.68,0,5812,11,2018-05-09 11:22:00
31,36,60.36,0,5818,11,2018-05-09 11:23:00
31,36,60.68,0,5812,11,2018-05-09 11:24:00
31,36,61.0,0,5812,11,2018-05-09 11:25:00
31,36,61.0,0,5812,11,2018-05-09 11:26:00
31,37,60.84,0,5818,11,2018-05-09 11:27:00
30,39,61.16,0,5818,11,2018-05-09 11:28:00
