id_Variable;id_nodo;Temperatura;Humedad;Hum. Tierra;Nivel_UV;intlum;ano;MES;DIA;HORA;MINUTO;
2823;2;27;19;74,97;0;5853;2018;5;9;9;38;
2824;6;-;0;0;0;0;2018;5;9;9;38;
2825;3;27;65;94,07;0;5824;2018;5;9;9;49;
2826;6;-;0;0;0;0;2018;5;9;9;49;
2827;2;28;19;72,72;0;5865;2018;5;9;9;49;
2828;3;27;65;87,97;0;5818;2018;5;9;9;50;
2829;6;-;78;0,01;5;5829;2018;5;9;9;50;
2830;2;28;19;72,56;0;5859;2018;5;9;9;50;
2831;3;27;64;84,6;0;5812;2018;5;9;9;51;
2832;6;-;78;0,01;5;5829;2018;5;9;9;51;
2833;2;28;19;72,4;0;5859;2018;5;9;9;51;
2834;3;27;64;82,03;0;5812;2018;5;9;9;52;
2835;6;-;78;0,01;5;5829;2018;5;9;9;52;
2836;2;28;19;72,08;0;5859;2018;5;9;9;52;
2837;3;27;64;79,94;0;5812;2018;5;9;9;53;
2838;6;-;78;0,01;5;5835;2018;5;9;9;53;
2839;2;28;19;71,92;0;5865;2018;5;9;9;53;
2840;3;27;64;77,86;0;5824;2018;5;9;9;54;
2841;6;-;78;0,01;5;5829;2018;5;9;9;54;
2842;2;28;19;71,76;0;5859;2018;5;9;9;54;
2843;3;27;65;75,45;0;5812;2018;5;9;9;55;
2844;6;-;78;0,01;5;5829;2018;5;9;9;55;
2845;2;28;19;71,6;0;5859;2018;5;9;9;55;
2846;3;27;65;73,84;0;5812;2018;5;9;9;56;
2847;6;-;78;0,01;5;5824;2018;5;9;9;56;
2848;2;28;19;71,44;0;5859;2018;5;9;9;56;
2849;3;27;65;71,92;0;5812;2018;5;9;9;57;
2850;6;-;78;0,01;5;5829;2018;5;9;9;57;
2851;2;28;19;72,72;0;5859;2018;5;9;9;57;
2852;3;28;65;70,31;0;5829;2018;5;9;9;58;
2853;6;-;78;0,01;5;5841;2018;5;9;9;58;
2854;2;28;19;72,56;0;5870;2018;5;9;9;58;
2855;3;28;65;69,35;0;5841;2018;5;9;9;59;
2856;6;-;78;0,01;5;5859;2018;5;9;9;59;
2857;2;28;19;72,24;0;5876;2018;5;9;9;59;
2858;3;28;65;68,07;0;5841;2018;5;9;10;0;
2859;6;-;78;0,01;5;5859;2018;5;9;10;0;
2860;2;28;19;72,08;0;5876;2018;5;9;10;0;
2861;3;28;65;67,1;0;5847;2018;5;9;10;1;
2862;2;28;19;71,92;0;5876;2018;5;9;10;1;
2863;6;-;5;0,01;5;5859;2018;5;9;10;1;
2864;3;28;65;66,62;0;5841;2018;5;9;10;2;
2865;2;28;19;71,76;0;5870;2018;5;9;10;2;
2866;6;-;78;0,01;5;5853;2018;5;9;10;2;
2867;3;28;64;66,3;0;5824;2018;5;9;10;3;
2868;2;28;19;71,28;0;5865;2018;5;9;10;3;
