"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","AÑO","MES","DIA","HORA","MINUTO"
"1","2","27","19","74,97","0","5853","2018","5","9","9","38"
"2","2","28","19","72,72","0","5865","2018","5","9","9","49"
"3","2","28","19","72,56","0","5859","2018","5","9","9","50"
"4","2","28","19","72,4","0","5859","2018","5","9","9","51"
"5","2","28","19","72,08","0","5859","2018","5","9","9","52"
"6","2","28","19","71,92","0","5865","2018","5","9","9","53"
"7","2","28","19","71,76","0","5859","2018","5","9","9","54"
"8","2","28","19","71,6","0","5859","2018","5","9","9","55"
"9","2","28","19","71,44","0","5859","2018","5","9","9","56"
"10","2","28","19","72,72","0","5859","2018","5","9","9","57"
"11","2","28","19","72,56","0","5870","2018","5","9","9","58"
"12","2","28","19","72,24","0","5876","2018","5","9","9","59"
"13","2","28","19","72,08","0","5876","2018","5","9","10","0"
"14","2","28","19","71,92","0","5876","2018","5","9","10","1"
"15","2","28","19","71,76","0","5870","2018","5","9","10","2"
"16","2","28","19","71,28","0","5865","2018","5","9","10","3"
"17","2","28","19","70,96","0","5865","2018","5","9","10","4"
"18","2","29","18","70,63","0","5876","2018","5","9","10","5"
"19","2","29","18","70,47","0","5870","2018","5","9","10","6"
"20","2","29","18","70,15","0","5859","2018","5","9","10","7"
"21","2","29","18","69,99","0","5859","2018","5","9","10","8"
"22","2","29","18","69,67","0","5859","2018","5","9","10","9"
"23","2","29","18","68,71","0","5859","2018","5","9","10","10"
"24","2","29","18","68,23","0","5865","2018","5","9","10","11"
"25","2","29","18","64,21","0","5859","2018","5","9","10","12"
"26","2","29","18","64,05","0","5859","2018","5","9","10","13"
"27","2","29","18","63,89","0","5853","2018","5","9","10","14"
"28","2","29","18","63,73","0","5847","2018","5","9","10","15"
"29","2","29","18","63,57","0","5847","2018","5","9","10","16"
"30","2","29","18","63,41","0","5853","2018","5","9","10","17"
"31","2","29","18","63,41","0","5853","2018","5","9","10","18"
"32","2","29","18","63,25","0","5853","2018","5","9","10","19"
"33","2","29","18","63,09","0","5853","2018","5","9","10","20"
"34","2","29","18","62,93","0","5847","2018","5","9","10","21"
"35","2","29","18","63,09","0","5847","2018","5","9","10","22"
"36","2","29","18","62,93","0","5847","2018","5","9","10","23"
"37","2","29","18","62,77","0","5853","2018","5","9","10","24"
"38","5","30","58","80,42","0","5829","2018","5","9","10","25"
"39","2","29","18","62,61","0","5853","2018","5","9","10","25"
"40","5","30","57","73,2","0","5829","2018","5","9","10","26"
"41","2","29","18","62,61","0","5853","2018","5","9","10","26"
"42","5","30","57","67,75","0","5841","2018","5","9","10","27"
"43","2","29","18","62,45","0","5853","2018","5","9","10","27"
"44","5","30","57","63,25","0","5824","2018","5","9","10","28"
"45","2","30","18","62,45","0","5853","2018","5","9","10","28"
"46","5","30","56","58,92","0","5835","2018","5","9","10","29"
"47","2","30","18","62,45","0","5859","2018","5","9","10","29"
"48","5","30","56","56,03","0","5859","2018","5","9","10","30"
"49","2","30","18","62,29","0","5870","2018","5","9","10","30"
"50","5","31","54","54,1","0","5859","2018","5","9","10","31"
"51","2","30","18","62,13","0","5865","2018","5","9","10","31"
"52","5","31","52","52,5","0","5841","2018","5","9","10","32"
"53","2","30","18","62,29","0","5859","2018","5","9","10","32"
"54","5","31","51","51,7","0","5859","2018","5","9","10","33"
"55","2","30","18","62,29","0","5870","2018","5","9","10","33"
"56","2","30","18","62,29","0","5870","2018","5","9","10","34"
"57","5","32","48","50,73","0","5859","2018","5","9","10","35"
"58","2","30","18","62,13","0","5870","2018","5","9","10","35"
"59","5","32","47","50,73","0","5859","2018","5","9","10","36"
"60","2","30","18","62,13","0","5870","2018","5","9","10","36"
"61","5","32","45","50,73","0","5859","2018","5","9","10","37"
"62","2","30","18","62,13","0","5870","2018","5","9","10","37"
"63","5","32","45","50,73","0","5859","2018","5","9","10","38"
"64","2","30","18","62,13","0","5870","2018","5","9","10","38"
"65","2","31","17","62,13","0","5870","2018","5","9","10","39"
"66","5","32","43","51,21","0","5859","2018","5","9","10","40"
"67","2","31","17","61,97","0","5870","2018","5","9","10","40"
"68","2","31","17","61,97","0","5870","2018","5","9","10","41"
"69","5","32","42","51,37","0","5853","2018","5","9","10","42"
"70","5","32","42","51,53","0","5853","2018","5","9","10","43"
"71","2","31","17","61,97","0","5865","2018","5","9","10","43"
"72","5","32","42","52,18","0","5859","2018","5","9","10","44"
"73","2","31","17","61,81","0","5870","2018","5","9","10","44"
"74","5","32","42","52,18","0","5859","2018","5","9","10","45"
"75","2","31","17","61,97","0","5870","2018","5","9","10","45"
"76","5","32","41","52,82","0","5853","2018","5","9","10","46"
"77","2","31","17","62,13","0","5870","2018","5","9","10","46"
"78","5","33","40","52,98","0","5847","2018","5","9","10","47"
"79","2","31","17","61,97","0","5865","2018","5","9","10","47"
"80","2","31","17","61,97","0","5865","2018","5","9","10","49"
"81","5","33","41","53,3","0","5859","2018","5","9","10","49"
"82","2","32","17","61,81","0","5876","2018","5","9","10","49"
"83","5","33","41","53,94","0","5859","2018","5","9","10","50"
"84","2","32","17","61,81","0","5876","2018","5","9","10","50"
